code	name	city	country	latlng	yaid
KVR	Кавалерово	Кавалерово	ru	44.2693567982,135.035454195	9623969
VVO	Кневичи	Владивосток	ru	43.398889,132.148056	9626399
TLY	Пластун	Пластун	ru	44.8122118504,136.297195237	9623551
VKO	Внуково	Москва	ru	55.6058168945,37.2882325016	9600215
DME	Домодедово	Москва	ru	55.415286,37.896261	9600216
SVO	Шереметьево	Москва	ru	55.9639508449,37.4168895185	9600213
LED	Пулково	Санкт-Петербург	ru	59.7980678325,30.2683921386	9600366
SVX	Кольцово	Екатеринбург	ru	56.750107,60.804833	9600370
KRR	Пашковский	Краснодар	ru	45.0337482522,39.139141968	9623123
AER	Адлер	Сочи	ru	43.4485494345,39.9385136058	9623547
ASF	Нариманово	Астрахань	ru	46.283333,48.006389	9600172
BQS	Благовещенск	Благовещенск	ru	50.425278,127.4125	9623271
EGO	Белгород	Белгород	ru	50.643889,36.59	9623277
GRV	Грозный	Грозный	ru	43.333333,45.7	9623545
KBP	Борисполь	Киев	ua	50.345,30.894722	9600365
IEV	Жуляны	Киев	ua	50.401667,30.449722	9600364
SIP	Симферополь	Симферополь	ua	45.0197925991,33.9979645237	9600396
ODS	Одесса	Одесса	ua	46.440461,30.676775	9600391
DOK	Донецк	Донецк	ua	48.073611,37.739722	9623573
DNK	Днепропетровск	Днепропетровск	ua	48.3677748291,35.0933033068	9600395
	Белокуриха	Белокуриха	ru	52.0072446172,84.9731242617	9813711
BAX	Имени Г.С.Титова	Барнаул	ru	53.363889,83.538611	9623280
	Васьково	Архангельск	ru	64.442922,40.429874	9752729
	Верхняя Золотица		ru	65.689023,40.350567	9752711
	Койда		ru	66.377425,42.558017	9752716
	Летняя Золотица		ru	64.9512455064,36.8382887249	9752719
	Лопшеньга		ru	64.967882,37.685524	9752718
	Мезень	Мезень	ru	65.873583,44.213119	9752720
	Мосеево		ru	65.774052,46.180344	9752731
	Пертоминск		ru	64.797388,38.411909	9752717
	Ручьи		ru	66.032682,41.219288	9752782
	Сафоново		ru	65.675186,47.693868	9752730
CSH	Соловки	Соловки	ru	65.029727,35.735746	9752726
ARH	Талаги	Архангельск	ru	64.600278,40.716667	9600185
MSQ	Минск 2	Минск	by	53.8891944312,28.0340933808	9600368
BQT	Брест	Брест	by	52.116667,23.883333	9628287
ALA	Алматы	Алматы	kz	43.353333,77.042222	9600392
VUS	Великий Устюг	Великий Устюг	ru	60.766667,46.316667	9626358
VGD	Вологда	Вологда	ru	59.283333,39.95	9600175
CEE	Череповец	Череповец	ru	59.291944,38.018611	9623264
TSE	Астана	Астана	kz	51.023056,71.466944	9623556
SCO	Актау	Актау	kz	43.6848545754,51.1249012314	9623652
GUW	Атырау	Атырау	kz	47.121944,51.821389	9623633
